,epoch,train_loss,val_loss,train_acc,val_acc
0,1.0,1.6191631442750507,1.319754138873641,0.39546,0.5141
1,2.0,1.1985768494398699,1.1952602331805382,0.5611,0.5702
2,3.0,0.9966455784142779,0.9421538999126216,0.6417,0.664
3,4.0,0.8502003968219318,0.8618074799798856,0.69712,0.696
4,5.0,0.7529187598420531,0.8074553481712463,0.73488,0.7213
5,6.0,0.6744366358308231,0.7677560006357302,0.7611,0.7333
6,7.0,0.6223347814339201,0.7510647692118481,0.7785,0.7391
7,8.0,0.5769495273680638,0.7366944061722726,0.79582,0.749
8,9.0,0.5347515636926417,0.7419313412563057,0.81122,0.7516
9,10.0,0.4999974990058738,0.6989182507156566,0.82388,0.767
10,11.0,0.4685340548872643,0.7033341785145414,0.83238,0.7672
11,12.0,0.4422197251597329,0.7142755791639827,0.84276,0.7596
12,13.0,0.4190772201703942,0.7001040883504661,0.85222,0.7707
13,14.0,0.3952907636437727,0.7115245782265998,0.8602,0.7658
14,15.0,0.374943215104625,0.7360715581353303,0.8661,0.7674
15,16.0,0.35072244932432006,0.7369601542402984,0.87384,0.7676
16,17.0,0.3332222607415503,0.7680114460219244,0.8807,0.7621
17,18.0,0.3097195676277818,0.7871443573266838,0.88886,0.7631
18,19.0,0.29686282560839067,0.7405820574350418,0.89316,0.7752
19,20.0,0.2879583006891448,0.7776341215250598,0.89708,0.7688
20,21.0,0.26457839305310143,0.7988800055282131,0.90484,0.7699
21,22.0,0.2532533695611655,0.8123620640320383,0.90794,0.7716
22,23.0,0.23412876721957457,0.7870802939127964,0.91546,0.7756
23,24.0,0.22859246267572694,0.84124407732183,0.9173,0.7662
24,25.0,0.2142165668232514,0.8220062370702719,0.92198,0.7735
